"";"id";"raça";"idade";"ing_nat";"gênero";"mão_dom";"fonte";"país";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"N1";"N2";"N3";"N4";"N5";"N6";"N7";"N8";"N9";"N10";"A1";"A2";"A3";"A4";"A5";"A6";"A7";"A8";"A9";"A10";"C1";"C2";"C3";"C4";"C5";"C6";"C7";"C8";"C9";"C10";"O1";"O2";"O3";"O4";"O5";"O6";"O7";"O8";"O9";"O10";"extr";"neur";"amab";"cons";"aber";"fluid";"wellb";"empa";"E";"N";"A";"C";"O"
"14694";"s14694";"Raça Mista";18;"Não";"Feminino";"Direita";1;"HR";4;5;1;5;3;5;3;5;2;3;5;1;5;2;4;5;5;4;4;4;4;3;2;4;2;3;2;3;3;3;3;2;4;3;1;4;4;2;4;4;3;3;4;4;3;3;3;3;5;3;2;4,5;3,5;3,3;3,2;1,12032858561043;-3,59986629681455;4,32734383531615;8;22;17;19;17
"9211";"s9211";"Caucasiano (Europeu)";58;"Sim";"Feminino";"Direita";1;"US";3;2;2;4;4;2;2;4;2;4;4;2;4;1;4;4;5;5;3;5;4;2;1;3;2;4;3;3;3;3;4;5;4;5;1;5;4;2;2;3;5;1;5;1;4;1;5;5;3;4;2,7;4,3;3,4;2,5;4,6;2,61308921470655;-2,77897086103877;2,01381533786523;14;22;17;13;23
"973";"s973";"Caucasiano (Europeu)";33;"Não";"Masculino";"Direita";2;"(nu";4;5;3;3;3;4;4;2;3;2;5;1;4;4;3;3;4;5;2;5;4;4;1;5;2;5;2;3;5;5;2;1;5;1;4;2;2;2;2;3;4;1;5;2;4;1;4;4;5;4;3,1;3,8;4,4;3,6;4,4;2,0684179058363;-2,89245688730504;3,63997091732184;14;19;21;22;23
"1300";"s1300";"Caucasiano (Indiano)";13;"Não";"Feminino";"Direita";2;"GB";1;5;3;5;5;1;1;5;1;1;5;5;5;5;5;4;5;1;1;4;2;5;4;4;3;5;2;2;5;5;1;5;5;1;1;5;1;1;1;3;5;3;1;3;3;2;5;1;1;1;2,4;3,2;3,7;2,4;2,7;0,37105599934412;-2,1049112885142;1,63560337971339;13;16;16;19;14
"13382";"s13382";"Caucasiano (Europeu)";39;"Sim";"Masculino";"Direita";1;"HK";4;1;5;2;5;2;2;2;5;2;4;4;5;2;5;5;5;5;5;3;4;5;5;4;3;4;2;4;4;5;3;4;5;3;1;4;5;4;5;5;5;2;5;2;5;1;5;5;4;5;4,2;4,3;3,8;3,3;4,7;1,94898303917719;-2,71566852340717;1,21727778327592;22;19;19;17;23
"16884";"s16884";"Caucasiano (Europeu)";15;"Não";"Masculino";"Direita";1;"BE";4;4;2;4;1;4;4;5;3;5;4;4;4;3;2;3;3;3;3;2;5;2;2;4;4;5;2;5;4;2;4;1;4;2;1;4;1;3;1;3;5;1;2;1;4;4;4;5;4;4;2,2;2,9;3,7;2,8;4;2,77159128338386;0,244178749609683;2,7654053088873;9;13;18;19;17
"19688";"s19688";"Sudeste Asiático (Chinês, Tailandês, Malaio, Filipino, etc.)";15;"Não";"Feminino";"Direita";1;"PH";4;2;4;4;4;4;3;2;5;1;4;5;4;5;4;2;5;4;2;2;1;4;2;5;3;5;4;4;5;4;2;2;3;4;3;2;4;4;4;3;2;4;4;4;5;5;4;1;1;5;3,7;2,9;3,7;3,1;2,7;0,617294295837575;-2,52097210180063;3,43862466323152;20;12;17;14;12
"9873";"s9873";"Sudeste Asiático (Chinês, Tailandês, Malaio, Filipino, etc.)";24;"Sim";"Feminino";"Direita";1;"SG";3;1;5;2;2;1;2;4;5;5;3;5;4;4;2;2;2;1;4;1;5;5;2;5;1;5;1;5;5;5;3;5;4;4;1;5;4;1;3;4;3;4;4;1;4;1;5;2;5;4;3,4;2,2;4,9;2,8;3,9;3,06668835940324;-0,260179581180854;3,87835791591368;18;10;24;16;24
"17997";"s17997";"Sudeste Asiático (Chinês, Tailandês, Malaio, Filipino, etc.)";21;"Sim";"Masculino";"Direita";3;"MY";1;4;4;5;4;2;2;4;3;2;2;3;5;2;5;4;4;4;2;4;1;5;2;4;1;5;2;5;4;2;4;2;5;2;1;2;4;3;4;5;3;1;4;1;5;1;2;5;5;5;2,7;3,7;3,9;3,8;4,4;3,48172552306581;-2,18793883863034;1,86225643198724;15;21;17;21;21
"13476";"s13476";"Caucasiano (Europeu)";25;"Não";"Feminino";"Direita";1;"PT";3;2;3;4;5;2;3;2;5;3;3;1;5;1;5;5;5;5;4;5;3;5;1;4;2;3;1;2;5;4;2;3;5;4;1;1;4;5;4;4;2;1;5;1;5;1;5;4;5;5;3,6;4,7;4;3,1;4,6;1,88737700197302;-2,52628928638711;2,05441143445684;20;25;19;15;25
