"";"id";"raça";"idade";"ing_nat";"gênero";"mão_dom";"fonte";"país";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"N1";"N2";"N3";"N4";"N5";"N6";"N7";"N8";"N9";"N10";"A1";"A2";"A3";"A4";"A5";"A6";"A7";"A8";"A9";"A10";"C1";"C2";"C3";"C4";"C5";"C6";"C7";"C8";"C9";"C10";"O1";"O2";"O3";"O4";"O5";"O6";"O7";"O8";"O9";"O10";"extr";"neur";"amab";"cons";"aber";"fluid";"wellb";"empa";"E";"N";"A";"C";"O"
"10462";"s10462";"Caucasiano (Europeu)";46;"Sim";"Feminino";"Esquerda";2;"US";2;4;4;3;5;4;2;1;3;2;2;2;2;1;3;3;1;1;4;1;5;4;5;5;5;4;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;2;4,7;4,9;5;3,05090247054647;-0,291394031285174;3,07738991361032;14;9;24;24;25
"15225";"s15225";"Caucasiano (Europeu)";24;"Não";"Feminino";"Direita";5;"SG";3;4;5;4;2;5;5;2;4;2;3;2;2;3;3;2;2;2;2;2;5;5;5;5;5;4;1;4;4;4;4;4;4;4;3;3;4;4;4;4;4;5;4;5;4;4;5;3;5;4;3,6;2,3;4,2;3,8;4,3;3,25329405175555;0,0258535722371718;2,65624222569242;17;12;23;20;23
"17809";"s17809";"Raça Mista";24;"Sim";"Feminino";"Direita";1;"CA";3;3;4;3;3;4;3;3;3;3;3;3;3;2;3;3;3;2;4;1;4;5;5;4;5;5;5;4;4;4;3;4;4;5;3;3;3;4;3;5;3;4;4;5;4;5;5;3;5;5;3,2;2,7;4,5;3,7;4,3;1,51853531082411;-1,079194968219;2,20449213767459;16;12;22;22;24
"19300";"s19300";"Caucasiano (Europeu)";21;"Não";"Masculino";"Direita";5;"BR";1;1;1;1;1;1;1;1;2;1;2;1;5;5;2;1;2;1;1;1;3;1;5;1;3;4;1;1;2;3;4;5;5;5;3;4;5;2;4;4;4;5;5;5;4;5;4;2;5;5;1,1;2,1;2,4;4,1;4,4;1,08226174941591;-3,48612436429438;-0,563542113413862;6;14;13;21;24
"16594";"s16594";"Caucasiano (Norte Africano, Outro)";18;"Não";"Feminino";"Direita";5;"US";3;4;5;4;5;4;3;3;5;4;5;4;5;1;4;4;4;2;4;1;1;5;4;4;5;5;5;5;5;5;4;1;4;3;1;2;5;5;4;5;4;5;5;5;4;5;5;4;5;5;4;3,4;4,4;3,4;4,7;4,39244014811617;-2,65819907563888;3,16934783870596;20;15;20;18;25
"6704";"s6704";"Caucasiano (Europeu)";19;"Não";"Feminino";"Direita";2;"NL";4;5;5;5;5;5;4;5;5;5;5;3;5;4;4;4;5;5;4;4;4;5;2;4;4;3;5;4;4;5;3;3;5;5;4;2;5;3;4;4;4;4;5;3;4;5;5;4;4;5;4,8;4,3;4;3,8;4,3;2,5963482312836;-2,98095164474379;3,76097239848836;25;20;20;20;22
"15480";"s15480";"Raça Mista";16;"Sim";"Masculino";"Direita";1;"US";2;3;3;2;2;2;2;2;5;1;4;3;5;4;3;4;5;3;4;4;5;4;2;5;3;5;3;4;4;3;3;2;5;1;2;2;5;2;3;3;4;3;5;4;3;5;4;3;5;5;2,4;3,9;3,8;2,8;4,1;2,2368380612516;-1,02174832180785;0,647507453858911;13;19;18;13;23
"963";"s963";"Caucasiano (Indiano)";23;"Sim";"Masculino";"Direita";5;"(nu";2;2;3;3;3;3;2;3;4;1;3;3;5;1;2;3;3;4;3;2;2;4;5;5;4;4;3;4;5;5;4;4;4;5;3;4;5;3;4;3;3;4;4;3;4;4;4;4;4;4;2,6;2,9;4,1;3,9;3,8;1,28795029478114;-2,967817779419;3,13996121694907;13;13;20;19;19
"3538";"s3538";"Caucasiano (Indiano)";18;"Sim";"Feminino";"Direita";1;"US";3;5;3;1;5;5;5;1;1;5;5;5;5;1;1;5;5;5;5;1;3;1;1;1;1;1;5;1;1;1;1;1;5;1;1;1;5;1;5;1;3;1;5;1;5;5;5;5;5;5;3,4;3,8;1,6;2,2;4;2,52762640934965;-1,80125465289327;-0,00392708925774421;17;13;7;9;21
"18321";"s18321";"Nativo Americano";15;"Sim";"Masculino";"Direita";5;"CA";1;5;2;5;1;5;1;5;1;5;2;2;2;3;3;1;3;1;2;1;5;2;4;2;4;3;2;3;2;2;4;5;5;4;2;3;5;3;2;2;3;2;3;1;2;2;3;3;2;2;3,1;2;2,9;3,5;2,3;-1,20439343848023;-0,805498898374781;2,280867101361;21;11;16;19;11
